loan_id,loan_amt,payment_period,comp_period,branch_no,loan_date,trans_id
569332,109548.97,Monthly,Monthly,556240,2020-08-09,600076
785583,189615.45,Monthly,Yearly,653853,2021-01-15,884493
613747,146012.38,Monthly,Monthly,160780,2022-03-22,642046
897480,105401.83,Monthly,Monthly,788531,2021-07-30,240089
641609,77658.68,Monthly,Yearly,187541,2020-10-09,282406
859014,133083.98,Monthly,Monthly,161107,2023-04-13,773976
218961,153630.52,Monthly,Monthly,531837,2020-06-17,849839
690473,108275.11,Monthly,Quarterly,576546,2020-04-05,755732
598689,53797.30,Monthly,Monthly,701300,2021-04-29,792965
539563,171548.66,Monthly,Monthly,871772,2021-01-30,645152
